la_code,supergroup,supergroup_code,group,group_code,subgroup,subgroup_code
E08000007,Town and Country Living,7,Town Living,7c,Prosperous Towns,7c2
E08000008,Urban Settlements,8,Manufacturing Traits,8a,Urban Living,8a2
E08000009,Urban Settlements,8,Suburban Traits,8b,City Periphery,8b1
E08000010,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Manufacturing Legacy,6a1
E07000117,Urban Settlements,8,Manufacturing Traits,8a,Urban Living,8a2
E07000118,Town and Country Living,7,Town Living,7c,Prosperous Towns,7c2
E07000119,Countryside Living,3,English and Welsh Countryside,3a,Older Farming Communities,3a1
E07000120,Urban Settlements,8,Manufacturing Traits,8a,Urban Living,8a2
E07000121,"Business, Education and Heritage Centres",2,Larger Towns and Cities,2a,Larger Towns and Cities,2a1
E07000122,Urban Settlements,8,Manufacturing Traits,8a,Urban Living,8a2
E07000123,"Business, Education and Heritage Centres",2,Larger Towns and Cities,2a,Larger Towns and Cities,2a1
E07000124,Countryside Living,3,English and Welsh Countryside,3a,Older Farming Communities,3a1
E07000125,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Manufacturing Legacy,6a1
E07000126,Town and Country Living,7,Town Living,7c,Prosperous Towns,7c2
E07000127,Town and Country Living,7,Town Living,7c,Prosperous Towns,7c2
E07000128,Countryside Living,3,English and Welsh Countryside,3a,Sparse English and Welsh Countryside,3a2
E08000011,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Mining Legacy,6a2
E08000012,"Business, Education and Heritage Centres",2,Larger Towns and Cities,2a,Larger Towns and Cities,2a1
E08000014,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Service Economy,6a3
E08000013,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Manufacturing Legacy,6a1
E08000015,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Service Economy,6a3
E06000011,Countryside Living,3,English and Welsh Countryside,3a,Sparse English and Welsh Countryside,3a2
E06000010,Urban Settlements,8,Manufacturing Traits,8a,Industrial and Multi-ethnic,8a1
E06000012,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Manufacturing Legacy,6a1
E06000013,Town and Country Living,7,Country Living,7a,Country Living,7a1
E06000014,"Business, Education and Heritage Centres",2,Larger Towns and Cities,2a,Larger Towns and Cities,2a1
E07000163,Countryside Living,3,English and Welsh Countryside,3a,Older Farming Communities,3a1
E07000164,Countryside Living,3,English and Welsh Countryside,3a,Sparse English and Welsh Countryside,3a2
E07000165,Countryside Living,3,English and Welsh Countryside,3a,Older Farming Communities,3a1
E07000166,Countryside Living,3,English and Welsh Countryside,3a,Sparse English and Welsh Countryside,3a2
E07000167,Countryside Living,3,English and Welsh Countryside,3a,Older Farming Communities,3a1
E07000168,Countryside Living,3,Remoter Coastal Living,3b,Ageing Coastal Living,3b1
E07000169,Town and Country Living,7,Country Living,7a,Country Living,7a1
E08000016,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Manufacturing Legacy,6a1
E08000017,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Manufacturing Legacy,6a1
E08000018,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Manufacturing Legacy,6a1
E08000019,"Business, Education and Heritage Centres",2,Larger Towns and Cities,2a,Larger Towns and Cities,2a1
E08000032,Urban Settlements,8,Manufacturing Traits,8a,Industrial and Multi-ethnic,8a1
E08000033,Urban Settlements,8,Manufacturing Traits,8a,Urban Living,8a2
E08000034,Urban Settlements,8,Manufacturing Traits,8a,Industrial and Multi-ethnic,8a1
E08000035,"Business, Education and Heritage Centres",2,Larger Towns and Cities,2a,Larger Towns and Cities,2a1
E08000036,Services and Industrial Legacy,6,"Services, Manufacturing and Mining Legacy",6a,Manufacturing Legacy,6a1
E06000015,Urban Settlements,8,Manufacturing Traits,8a,Industrial and Multi-ethnic,8a1
