la_name,year,filled_posts,employees,vacant_posts,vacancy_rate,fte_posts,la_code
Milton Keynes,2022,6800,5700,550.0,0.08815736317484313,5000.0,E06000042
Milton Keynes,2023,7600,6700,600.0,0.08135348746026942,5900.0,E06000042
Brighton & Hove,2016,6200,5500,425.0,0.0732563616096555,4300.0,E06000043
Brighton & Hove,2017,6100,5400,,,4400.0,E06000043
Brighton & Hove,2018,6600,5800,425.0,0.0669389140157516,4600.0,E06000043
Brighton & Hove,2019,6300,5800,275.0,0.04609937911978036,4400.0,E06000043
Brighton & Hove,2020,6600,6100,325.0,0.05054713365626726,4600.0,E06000043
Brighton & Hove,2021,6000,5500,650.0,0.10881368702189738,4300.0,E06000043
Brighton & Hove,2022,5700,4900,450.0,0.08384501046541834,4100.0,E06000043
Brighton & Hove,2023,5900,5300,250.0,0.04646540237474367,4300.0,E06000043
Portsmouth,2016,3100,2900,100.0,0.03548173909345936,2000.0,E06000044
Portsmouth,2017,3100,3000,175.0,0.05328442836556775,2200.0,E06000044
Portsmouth,2018,3000,2800,225.0,0.0772646973135234,2000.0,E06000044
Portsmouth,2019,3000,2800,250.0,0.07878874705249328,2100.0,E06000044
Portsmouth,2020,3100,2900,225.0,0.0723133359190109,2100.0,E06000044
Portsmouth,2021,2900,2600,225.0,0.07632091658465238,2000.0,E06000044
Portsmouth,2022,3200,2900,225.0,0.07208026914967473,2300.0,E06000044
Portsmouth,2023,3400,3200,125.0,0.04007610207360381,2300.0,E06000044
Southampton,2016,4600,4400,,,3200.0,E06000045
Southampton,2017,4500,4300,,,3200.0,E06000045
Southampton,2018,4800,4700,,,3200.0,E06000045
Southampton,2019,4900,4600,,,3300.0,E06000045
Southampton,2020,5100,4800,,,3500.0,E06000045
Southampton,2021,5000,4700,,,3300.0,E06000045
Southampton,2022,5200,4900,,,3500.0,E06000045
Southampton,2023,5200,5000,300.0,0.056888213500299,3500.0,E06000045
Isle of Wight,2016,4200,4000,200.0,0.04893423483807595,3100.0,E06000046
Isle of Wight,2017,4200,4000,175.0,0.04294491438931274,3100.0,E06000046
Isle of Wight,2018,4200,4000,225.0,0.0545318647295558,3000.0,E06000046
Isle of Wight,2019,4000,3800,300.0,0.0760636248431257,3000.0,E06000046
Isle of Wight,2020,4300,4100,225.0,0.05398464585433173,3200.0,E06000046
Isle of Wight,2021,4000,3800,325.0,0.07682414662060386,3000.0,E06000046
Isle of Wight,2022,3800,3500,350.0,0.08936615842417144,2900.0,E06000046
Isle of Wight,2023,4000,3600,275.0,0.07038068779076391,3100.0,E06000046
Durham,2016,12000,11500,650.0,0.05564914434661927,8600.0,E06000047
Durham,2017,11500,11000,650.0,0.05873425895978326,8400.0,E06000047
Durham,2018,12000,11500,650.0,0.05452248184536756,8600.0,E06000047
Durham,2019,11500,11000,550.0,0.04718215132228795,8600.0,E06000047
Durham,2020,12000,11500,700.0,0.05797656529670089,8500.0,E06000047
Durham,2021,11000,10500,1000.0,0.09092817501796342,8300.0,E06000047
Durham,2022,11000,10500,900.0,0.07832899204117788,8600.0,E06000047
Durham,2023,11500,11000,700.0,0.06196539150704203,9000.0,E06000047
Cheshire East,2016,9100,8200,600.0,0.06551131680854061,,E06000049
Cheshire East,2017,9400,8700,700.0,0.0735491323574021,,E06000049
Cheshire East,2018,9600,8800,650.0,0.06924573155535242,,E06000049
Cheshire East,2019,9500,9000,800.0,0.08118193275788024,,E06000049
Cheshire East,2020,10000,9400,800.0,0.07804847430028172,,E06000049
Cheshire East,2021,10000,9500,1000.0,0.09744131022945267,,E06000049
Cheshire East,2022,10500,9700,1100.0,0.10174383511950852,,E06000049
Cheshire East,2023,11000,10000,1000.0,0.08798773452081501,8700.0,E06000049
Cheshire West & Chester,2016,8000,7200,650.0,0.08364345638676915,5500.0,E06000050
